"ID","Faction","Instance_Id","Supercedes","Title_Lang_enUS","Title_Lang_enGB","Title_Lang_koKR","Title_Lang_frFR","Title_Lang_deDE","Title_Lang_enCN","Title_Lang_zhCN","Title_Lang_enTW","Title_Lang_zhTW","Title_Lang_esES","Title_Lang_esMX","Title_Lang_ruRU","Title_Lang_ptPT","Title_Lang_ptBR","Title_Lang_itIT","Title_Lang_Unk","Title_Lang_Mask","Description_Lang_enUS","Description_Lang_enGB","Description_Lang_koKR","Description_Lang_frFR","Description_Lang_deDE","Description_Lang_enCN","Description_Lang_zhCN","Description_Lang_enTW","Description_Lang_zhTW","Description_Lang_esES","Description_Lang_esMX","Description_Lang_ruRU","Description_Lang_ptPT","Description_Lang_ptBR","Description_Lang_itIT","Description_Lang_Unk","Description_Lang_Mask","Category","Points","Ui_Order","Flags","IconID","Reward_Lang_enUS","Reward_Lang_enGB","Reward_Lang_koKR","Reward_Lang_frFR","Reward_Lang_deDE","Reward_Lang_enCN","Reward_Lang_zhCN","Reward_Lang_enTW","Reward_Lang_zhTW","Reward_Lang_esES","Reward_Lang_esMX","Reward_Lang_ruRU","Reward_Lang_ptPT","Reward_Lang_ptBR","Reward_Lang_itIT","Reward_Lang_Unk","Reward_Lang_Mask","Minimum_Criteria","Shares_Criteria"
"6","-1","-1","0","","","","","10级","","","","","","","","","","","","16712190","","","","","升到10级。","","","","","","","","","","","","16712190","92","10","1","4","3268","","","","","","","","","","","","","","","","","16712174","0","0"
"33","1","-1","0","","","","","这个苔原不太远","","","","","","","","","","","","16712190","","","","","在北风苔原完成130个任务。","","","","","","","","","","","","16712190","14863","10","1","136","3336","","","","","","","","","","","","","","","","","16712174","0","0"
"42","-1","-1","0","","","","","探索东部王国","","","","","","","","","","","","16712190","","","","","探索东部王国的各个区域。","","","","","","","","","","","","16712190","97","25","1","0","3490","","","","","","","","","","","","","","","","","16712174","0","0"
"57","-1","30","0","","","","","在奥特兰克山谷中死亡","","","","","","","","","","","","16712190","","","","","在奥特兰克山谷中死亡","","","","","","","","","","","","16712190","124","0","1","1","1","","","","","","","","","","","","","","","","","16712174","0","0"
"60","-1","-1","0","","","","","死亡的总次数","","","","","","","","","","","","16712190","","","","","死亡的总次数","","","","","","","","","","","","16712190","122","0","1","1","1","","","","","","","","","","","","","","","","","16712174","0","0"
"98","-1","-1","0","","","","","完成任务","","","","","","","","","","","","16712190","","","","","完成任务","","","","","","","","","","","","16712190","133","0","1","9","0","","","","","","","","","","","","","","","","","16712174","0","0"
"107","-1","-1","0","","","","","杀死怪物","","","","","","","","","","","","16712190","","","","","杀死怪物","","","","","","","","","","","","16712190","135","0","1","9","4","","","","","","","","","","","","","","","","","16712174","0","0"
"112","-1","-1","0","","","","","淹死","","","","","","","","","","","","16712190","","","","","淹死","","","","","","","","","","","","16712190","126","0","1","1","4","","","","","","","","","","","","","","","","","16712174","0","0"
"116","-1","-1","0","","","","","中级专业水准","","","","","","","","","","","","16712190","","","","","在一种专业中达到中级水准。","","","","","","","","","","","","16712190","169","10","1","0","2846","","","","","","","","","","","","","","","","","16712174","1","0"
"121","-1","-1","0","","","","","中级烹饪","","","","","","","","","","","","16712190","","","","","成为一名中级厨师。","","","","","","","","","","","","16712190","170","10","1","0","1467","","","","","","","","","","","","","","","","","16712174","0","0"
